2607,1010,1290,1548
1956,1834,3596,2916
2573,1024,1271,1623
1994,1866,3577,2936
2559,1033,1253,1573
1939,1863,3546,2955
2611,1047,1214,1579
1998,1858,3472,3026
2714,1064,1233,1543
1979,1847,3470,3050
2814,1074,1262,1466
2689,1032,1254,1467
1933,1854,3565,2978
2640,1017,1222,1513
1959,1844,3561,2920
2591,1017,1189,1635
1969,1853,3543,2920
2559,1022,1236,1615
1992,1867,3520,2959
2586,1032,1234,1618
1969,1857,3476,3026
2742,1063,1207,1560
2675,1040,1213,1521
2011,1873,3453,3044
2684,1032,1211,1494
1987,1831,3544,3010
2645,1021,1209,1531
2002,1829,3592,2916
2616,1028,1180,1626
2156,1863,3572,2924
1964,1888,3535,2921
2565,1036,1215,1718
2013,1874,3522,2983
2618,1047,1214,1623
1958,1867,3441,3045
2726,1062,1206,1513
2042,1830,3425,3090
1995,1836,1239,1516
2680,1024,1177,1543
2016,1839,3543,2986
2624,1011,1210,1549
1929,1799,3548,2959
2574,1013,1175,1686
1993,1855,3508,2934
2656,1043,1195,1726
2524,1022,1178,1661
1994,1853,3446,3013
2626,1044,1180,1660
2013,1874,3401,3089
2717,1055,1195,1570
2013,1857,3431,3084
2713,1040,1184,1578
1980,1817,3537,3012
1994,997,1257,1610
2615,1024,1190,1637
2009,1840,3531,2964
2584,1026,1185,1762
1995,1837,3522,2958
2592,1035,1182,1668
2051,1833,3462,3035
2034,1855,3441,3038
2684,1053,1246,1625
1981,1831,3421,3122
2725,1046,1220,1578
2001,1823,3460,3071
2675,1017,1184,1533
1959,1797,3519,2994
2640,1014,1248,1687
1982,1813,3540,2939
2017,1850,3526,2968
2547,1023,1183,1690
2010,1841,3532,2953
2574,1036,1173,1662
1934,1819,3447,3040
2684,1062,1255,1566
1997,1822,3439,3129
2750,1066,1281,1510
2005,1824,3473,3080
2763,1053,1274,1514
2657,1025,1249,2681
1985,1837,3559,2957
2609,1018,1231,1630
1986,1858,3527,2931
2580,1025,1194,1629
1962,1848,3487,2942
2575,1032,1190,1638
2010,1882,3462,2999
2673,1047,1228,1613
1953,1858,3422,3091
2007,1852,3399,3084
2692,1033,1247,1533
2016,1857,3463,3064
2636,1012,1218,1462
2001,1851,3542,2993
2607,1017,1238,1614
1997,1847,3545,2967
2649,1038,1239,1597
2568,1034,1235,1638
1949,1852,3502,2976
2595,1046,1214,1637
1984,1844,3453,3053
2685,1061,1259,1520
1964,1855,3437,3099
2739,1056,1269,1474
1986,1839,3498,3070
2709,1033,1216,1500
2002,1848,3566,3006
2745,1040,1268,1463
2605,1018,1218,1557
2015,1845,3531,2936
2567,1019,1174,1585
1953,1846,3497,2942
2563,1027,1183,1625
1957,1849,3461,3006
2654,1040,1210,1545
1988,1833,3448,3055
2723,1049,1215,1468
1922,1815,3466,3070
2493,1007,1252,1491
2663,1025,1202,1427
1981,1833,3561,2951
2621,1030,1253,1548
1992,1851,3534,2921
2599,1036,1220,1662
2006,1845,3526,2948
2589,1032,1223,1638
2607,1045,1218,1575
2005,1850,3456,3024
2698,1058,1222,1542
2000,1840,3418,3078
2742,1050,1195,1493
2006,1829,3476,3039
2700,1025,1244,1465
1949,1825,3527,2992
2693,1029,1170,1609
2573,1012,3527,2932
1979,1840,3513,2951
2545,1017,1158,1666
1944,1840,3474,2974
2566,1029,1122,1654
1952,1855,3438,3058
