1776,2304,2019,2029
2037,2050,2016,2033
1775,2305,2014,2027
2031,2050,2009,2031
1774,2306,2009,2021
2026,2043,2006,2022
1775,2302,2008,2011
2029,2034,2008,2008
1777,2300,2012,1998
2033,2028,2014,1995
1780,2299,2017,1988
2038,2022,2020,1986
1781,2302,2023,1983
2042,2023,2025,1987
1786,2304,2028,1988
2047,2030,2031,1994
1785,2306,2034,1998
2053,2034,2036,2004
1785,2303,2037,2005
2056,2037,2039,2012
1787,2301,2038,2013
2056,2041,2039,2018
1785,2300,2037,2019
2053,2044,2035,2026
1785,2301,2030,2025
2047,2050,2027,2031
1780,2301,2026,2028
2041,2051,2019,2034
1777,2304,2017,2028
2032,2049,2012,2031
1774,2305,2010,2024
2028,2045,2007,2024
1775,2302,2007,2014
2027,2039,2007,2013
1778,2300,2011,2002
2032,2029,2011,2000
1780,2300,2016,1990
2036,2025,2018,1989
1784,2299,2022,1984
2041,2024,2023,1986
1785,2302,2028,1986
2044,2029,2029,1993
1787,2305,2033,1994
2050,2032,2033,2001
1787,2304,2037,2002
2054,2037,2039,2010
1786,2301,2039,2012
2056,2039,2039,2017
1787,2301,2037,2017
2054,2044,2037,2023
1786,2300,2033,2023
2049,2047,2030,2029
1783,2303,2026,2027
2042,2051,2022,2032
1778,2304,2019,2028
2035,2050,2014,2033
1774,2306,2012,2027
2029,2048,2008,2028
1776,2305,2008,2019
2026,2042,2005,2018
1776,2303,2009,2007
2029,2034,2008,2003
1779,2300,2014,1994
2035,2026,2014,1991
1780,2300,2020,1985
2039,2023,2021,1986
1782,2301,2025,1983
2045,2025,2027,1988
1786,2305,2031,1991
2048,2032,2032,1998
1787,2306,2036,2001
2053,2036,2036,2007
1788,2302,2038,2007
2056,2039,2039,2016
1786,2301,2039,2015
2055,2041,2037,2022
1786,2299,2035,2021
2051,2045,2033,2026
1783,2303,2029,2026
2045,2049,2025,2032
1777,2302,2021,2029
2038,2051,2016,2033
1776,2305,2015,2027
2030,2050,2009,2032
1773,2306,2009,2021
2027,2044,2006,2022
1773,2304,2008,2011
2030,2034,2008,2008
1777,2299,2011,1998
2032,2028,2013,1994
1781,2301,2017,1987
2038,2022,2019,1987
1781,2299,2023,1983
2043,2024,2024,1986
1785,2304,2029,1987
2047,2029,2031,1994
1784,2304,2034,1998
2051,2033,2035,2004
1787,2302,2037,2006
2054,2037,2036,2012
1786,2303,2039,2013
2055,2041,2038,2019
1784,2300,2037,2019
2053,2046,2034,2026
1781,2302,2030,2025
2048,2048,2028,2030
1779,2303,2024,2029
2041,2051,2019,2033
1774,2304,2015,2029
2035,2050,2011,2030
1773,2306,2008,2024
2029,2047,2007,2024
1773,2305,2007,2015
2029,2039,2007,2014
1776,2300,2009,2002
2032,2031,2011,1999
1777,2299,2015,1989
2036,2024,2017,1989
1778,2298,2022,1984
2040,2022,2023,1986
1783,2300,2027,1985
2048,2026,2027,1991
1782,2305,2032,1993
2051,2033,2035,2000
1782,2304,2036,2003
2055,2036,2038,2010
1785,2303,2038,2011
2057,2039,2039,2018
1785,2300,2038,2018
2053,2044,2036,2024
1782,2300,2031,2022
2050,2046,2030,2028
1780,2302,2026,2028
2041,2049,2023,2033
1774,2305,2017,2029
2035,2052,2015,2032
1772,2305,2011,2027
2029,2048,2008,2027
1771,2305,2008,2019
2027,2042,2006,2017
1772,2303,2009,2008
2031,2033,2009,2004
1776,2300,2012,1994
2035,2024,2014,1991
1778,2297,2019,1986
2038,2021,2021,1986
1781,2298,2025,1985
2044,2024,2026,1989
1785,2305,2030,1991
2048,2031,2033,1998
1784,2305,2035,2001
2054,2034,2036,2007
1785,2303,2036,2008
2056,2038,2039,2014
1784,2300,2037,2016
2056,2042,2038,2022
1784,2298,2034,2022
2053,2045,2033,2026
1780,2301,2027,2025
2045,2049,2025,2031
1778,2302,2021,2029
2037,2051,2017,2032
1776,2303,2013,2027
2031,2052,2009,2030
1772,2305,2010,2021
2029,2045,2006,2022
1772,2302,2007,2011
2028,2036,2008,2009
1775,2300,2011,1998
2033,2026,2014,1994
1778,2298,2017,1988
2037,2022,2019,1986
1781,2300,2022,1984
2042,2022,2025,1987
1784,2303,2029,1989
2049,2029,2031,1994
1785,2305,2033,1997
2052,2033,2037,2004
1784,2304,2037,2006
2054,2038,2038,2013
1785,2301,2038,2013
2055,2040,2038,2019
1785,2300,2036,2019
2054,2044,2035,2026
1783,2300,2031,2024
2048,2048,2028,2030
1778,2302,2023,2028
2040,2050,2020,2033
1774,2303,2017,2028
2032,2051,2012,2032
1771,2303,2009,2023
2029,2045,2007,2023
1773,2301,2007,2015
2027,2039,2007,2014
1775,2297,2010,2003
2029,2030,2010,1999
1780,2299,2015,1991
2035,2023,2017,1989
1782,2298,2021,1984
2040,2023,2023,1986
1783,2302,2028,1986
2047,2027,2029,1991
1784,2306,2032,1993
2050,2032,2035,2001
1786,2305,2036,2003
2055,2035,2038,2010
1787,2302,2038,2010
2056,2039,2039,2016
1784,2300,2038,2017
2054,2042,2036,2024
1783,2299,2032,2022
2051,2046,2029,2029
1783,2302,2026,2026
2044,2050,2023,2033
1778,2303,2018,2029
2036,2050,2014,2032
1775,2303,2012,2025
2030,2049,2007,2028
1774,2305,2010,2018
2028,2040,2006,2019
1775,2301,2010,2007
2028,2032,2008,2005
1778,2298,2013,1993
2035,2025,2013,1992
1782,2299,2020,1983
2039,2022,2021,1985
1782,2300,2025,1984
2045,2025,2026,1988
1783,2305,2031,1991
2049,2031,2034,1997
1784,2305,2036,2002
2052,2035,2037,2007
1786,2303,2038,2009
2055,2037,2039,2015
1786,2301,2037,2015
2054,2042,2038,2022
1786,2301,2036,2020
2051,2045,2033,2028
1781,2302,2029,2026
2044,2049,2026,2032
1780,2303,2021,2029
2038,2050,2017,2034
1776,2304,2015,2028
2031,2048,2009,2030
1774,2305,2007,2020
2027,2044,2006,2021
1775,2303,2008,2011
2028,2036,2008,2010
1776,2301,2012,1999
2032,2027,2013,1995
1781,2301,2017,1987
2037,2024,2019,1986
1781,2300,2023,1984
2043,2024,2024,1986
1785,2304,2029,1988
2048,2029,2031,1994
1786,2304,2035,1997
2050,2034,2036,2004
1789,2302,2038,2006
2055,2036,2038,2012
1787,2302,2039,2013
2056,2040,2038,2019
1783,2300,2037,2018
2053,2045,2035,2026
1783,2301,2032,2024
2048,2047,2028,2031
1781,2303,2025,2027
2040,2050,2019,2033
1776,2304,2017,2028
2033,2051,2012,2032
1775,2306,2010,2024
2028,2047,2006,2025
1773,2304,2008,2015
2028,2040,2008,2014
1776,2302,2010,2004
2028,2031,2011,1999
1781,2301,2016,1990
2036,2024,2016,1989
1781,2300,2021,1984
2039,2023,2022,1986
1782,2301,2027,1986
2046,2027,2029,1991
1785,2305,2032,1994
2050,2032,2035,2000
1786,2305,2037,2003
2053,2035,2038,2009
1785,2304,2039,2011
2055,2039,2039,2016
1785,2301,2038,2016
2053,2043,2036,2023
1782,2302,2033,2023
2049,2046,2030,2029
1781,2302,2026,2027
2043,2051,2023,2033
1778,2304,2018,2030
2035,2051,2014,2033
1773,2305,2011,2027
2029,2048,2007,2028
1772,2305,2008,2018
2028,2042,2005,2017
